Node has 901 -  Counter({(0, 1): 233, (1, 1): 226, (0, 0): 224, (1, 0): 218})
Node has 901 -  Counter({(1, 1): 235, (0, 1): 234, (1, 0): 227, (0, 0): 205})
Node has 901 -  Counter({(0, 0): 238, (1, 0): 229, (0, 1): 227, (1, 1): 207})
Node has 901 -  Counter({(0, 1): 247, (0, 0): 239, (1, 1): 213, (1, 0): 202})
Node has 901 -  Counter({(1, 0): 236, (0, 1): 234, (0, 0): 227, (1, 1): 204})
Node has 901 -  Counter({(1, 1): 239, (0, 0): 233, (1, 0): 220, (0, 1): 209})
Node has 901 -  Counter({(0, 0): 253, (0, 1): 224, (1, 0): 215, (1, 1): 209})
Node has 901 -  Counter({(1, 1): 230, (0, 0): 229, (0, 1): 227, (1, 0): 215})
Node has 901 -  Counter({(0, 1): 238, (0, 0): 232, (1, 1): 224, (1, 0): 207})
Node has 901 -  Counter({(1, 1): 240, (1, 0): 239, (0, 1): 215, (0, 0): 207})
Node has 901 -  Counter({(1, 0): 233, (1, 1): 229, (0, 1): 221, (0, 0): 218})
Node has 901 -  Counter({(1, 1): 247, (1, 0): 227, (0, 1): 221, (0, 0): 206})
Node has 901 -  Counter({(0, 0): 248, (1, 0): 247, (1, 1): 209, (0, 1): 197})
Node has 901 -  Counter({(1, 0): 244, (0, 1): 228, (1, 1): 218, (0, 0): 211})
Node has 901 -  Counter({(1, 1): 237, (1, 0): 236, (0, 0): 216, (0, 1): 212})
Node has 901 -  Counter({(1, 1): 244, (0, 0): 239, (1, 0): 225, (0, 1): 193})
Node has 901 -  Counter({(1, 0): 242, (0, 0): 238, (1, 1): 218, (0, 1): 203})
Node has 901 -  Counter({(0, 0): 239, (0, 1): 233, (1, 0): 228, (1, 1): 201})
Node has 901 -  Counter({(1, 0): 237, (1, 1): 229, (0, 1): 223, (0, 0): 212})
Node has 901 -  Counter({(0, 1): 256, (1, 1): 228, (0, 0): 212, (1, 0): 205})
Node has 901 -  Counter({(1, 0): 244, (0, 1): 235, (0, 0): 216, (1, 1): 206})
Node has 901 -  Counter({(0, 0): 248, (1, 0): 229, (1, 1): 215, (0, 1): 209})
Node has 901 -  Counter({(0, 1): 252, (0, 0): 250, (1, 0): 208, (1, 1): 191})
Node has 901 -  Counter({(0, 0): 240, (1, 0): 232, (1, 1): 216, (0, 1): 213})
Node has 901 -  Counter({(1, 0): 234, (0, 0): 232, (0, 1): 220, (1, 1): 215})
Node has 901 -  Counter({(0, 1): 248, (1, 0): 229, (0, 0): 216, (1, 1): 208})
Node has 901 -  Counter({(0, 1): 235, (0, 0): 231, (1, 1): 222, (1, 0): 213})
Node has 901 -  Counter({(0, 1): 231, (1, 1): 227, (0, 0): 225, (1, 0): 218})
Node has 901 -  Counter({(0, 0): 243, (1, 1): 225, (0, 1): 221, (1, 0): 212})
Node has 901 -  Counter({(1, 1): 251, (1, 0): 232, (0, 0): 211, (0, 1): 207})
Node has 901 -  Counter({(0, 1): 245, (1, 1): 231, (0, 0): 217, (1, 0): 208})
Node has 901 -  Counter({(1, 0): 235, (1, 1): 224, (0, 0): 221, (0, 1): 221})
Node has 901 -  Counter({(1, 0): 241, (1, 1): 235, (0, 1): 213, (0, 0): 212})
Node has 901 -  Counter({(1, 0): 242, (0, 1): 229, (1, 1): 218, (0, 0): 212})
Node has 901 -  Counter({(1, 1): 236, (1, 0): 233, (0, 1): 222, (0, 0): 210})
Node has 901 -  Counter({(0, 1): 233, (0, 0): 231, (1, 1): 228, (1, 0): 209})
Node has 901 -  Counter({(1, 1): 239, (0, 0): 226, (1, 0): 223, (0, 1): 213})
Node has 901 -  Counter({(0, 0): 237, (1, 1): 231, (0, 1): 223, (1, 0): 210})
Node has 901 -  Counter({(1, 1): 249, (0, 1): 234, (0, 0): 211, (1, 0): 207})
Node has 901 -  Counter({(0, 1): 240, (1, 1): 230, (1, 0): 224, (0, 0): 207})
Node has 901 -  Counter({(1, 0): 266, (1, 1): 221, (0, 0): 216, (0, 1): 198})
Node has 901 -  Counter({(1, 1): 235, (0, 1): 227, (1, 0): 221, (0, 0): 218})
Node has 901 -  Counter({(0, 0): 248, (0, 1): 229, (1, 0): 218, (1, 1): 206})
Node has 901 -  Counter({(1, 0): 238, (0, 0): 228, (0, 1): 222, (1, 1): 213})
Node has 901 -  Counter({(1, 0): 239, (0, 0): 232, (0, 1): 224, (1, 1): 206})
Node has 901 -  Counter({(1, 1): 242, (0, 1): 231, (1, 0): 216, (0, 0): 212})
Node has 901 -  Counter({(1, 0): 234, (0, 1): 230, (0, 0): 220, (1, 1): 217})
